ano,sigla_uf,ramo_justica,id_tribunal,sigla_tribunal,despesa_beneficios,despesa_beneficios_quadro_ativo,despesa_beneficios_quadro_ativo_segundo_grau,despesa_beneficios_quadro_ativo_adm,despesa_beneficios_quadro_ativo_primeiro_grau,despesa_beneficios_quadro_inativo,despesa_cargos_comissao,despesa_cargos_comissao_segundo_grau,despesa_cargos_comissao_adm,despesa_cargos_comissao_primeiro_grau,saldo_depositos_judiciais,despesa_estagiarios,despesa_funcao_confianca,despesa_funcao_confianca_primeiro_grau,despesa_funcao_confianca_segundo_grau,despesa_funcao_confianca_adm,despesa_aquisicao_ti_comunicacao,despesa_custeio_ti_comunicacao,despesa_outras_idenizatorias_indiretas_rh,despesa_outras_idenizatorias_indiretas_rh_segundo_grau,despesa_outras_idenizatorias_indiretas_rh_adm,despesa_outras_idenizatorias_indiretas_rh_primeiro_grau,despesa_capital,despesa_rh_magistrados,despesa_projetos_construcao_obras,despesa_pessoal_encargos,despesa_pessoal_encargos_quadro_ativo,despesa_pessoal_encargos_quadro_ativo_primeiro_grau,despesa_pessoal_encargos_quadro_ativo_segundo_grau,despesa_pessoal_encargos_quadro_ativo_adm,despesa_pessoal_encargos_quadro_inativo,despesa_total_justica_estadual,despesa_rh,despesa_rh_servidores,despesa_terceirizados,execucao_orcamentaria_despesa_pessoal_encargos,execucao_orcamentaria_despesa_capital,execucao_orcamentaria_outras_despesa_correntes,despesa_total_pib,despesa_media_magistrado,despesa_media_servidor,despesa_media_terceirizado,despesa_media_estagiario,proporcao_despesa_total_dp,proporcao_despesa_rh_dtj,proporcao_despesa_bens_servicos_capital_dtj,proporcao_despesa_pessoal_encargos_quadro_permanente_dtj,proporcao_despesa_pessoal_ativo_encargos_dtj,proporcao_despesa_pessoal_inativo_pensao_dtj,proporcao_despesa_custeio_capital_dtj,despesa_total_justica_pc,proporcao_despesa_pleitos_eleitorais_dt,despesa_pleito_eleitoral_eleitor,gastos_totais,proporcao_arrecadacao_custas_emolumentos_dtj,proporcao_arrecadacao_receitas_execucao_fiscal_dtj,proporcao_valores_pagos_jurisdicionados_dtj,proporcao_saldo_depositos_judiciais_pendentes_dtj,despesa_ti_comunicacao_relacao_dtj,magistrados_inativos_instituidores_pensao,cargos_magistrados_providos,despesa_outras_correntes,despesa_outras_correntes_capital,orcamento_despesa_pessoal_encargos,orcamento_despesa_capital,orcamento_despesa_outras_correntes,recolhimentos_diversos,receita_corrente_execucoes_fiscais,quantidade_servidores,quantidade_servidores_inativos_instituidores_pensao,quantidade_estagiarios,quantidade_terceirizados,quantidade_pessoal_saiu_cessao_requisicao,valores_pagos_jurisdicionados
2009,MG,Estadual,18,TJMG,64536454,,,,,,,,,,2968261637,13902174,,,,,11987509,2162219703,2201489,,,,98382822,,,1901271529,1443765082,,,,457506447,2225425650,2010420199,,92624483,,,,0.00633801546013255,,,192446463744027,55966884057971,0.0552715936341083,0.90338681905639,0.0966131809436096,0.883340219881082,0.648759073123831,0.205581546613341,0.0920765333139752,113.569306306933,,,40263460915.06,0.105929889861744,0.0724722621041058,,1.33379501445038,0.0151025966785275,,978,116622629,215005451,,,,235739094,161281631,13347,,2484,4813,150,
2009,MS,Estadual,19,TJMS,8600133,,,,,,,,,,497556149,1757500,,,,,9919202,1368465,19354268,,,,22236906,,,285800686,285800686,,,,0,372792075,311527485,,4615032,,,,0.00788633167884925,,,466164848484848,694664031620553,0.0521119224318217,0.835660159889397,0.164339840110603,0.7897185555782,0.766649038877771,0,0.0767436861419331,152.200969566916,,,7153681107.96,0.108432865693296,0.000445114075989947,0.873879706267897,1.33467469500257,0.0302787203832056,,207,39027684,61264590,,,,40422913,165935,3328,,253,99,5,325775429
2009,MT,Estadual,20,TJMT,7370647,,,,,,,,,,518787417,3907624,,,,,5028192,640063,39763919,,,,24977468,,,414377082,356653156,,,,57723926,547262226,485879319,,11298652,,,,0.00966878071922187,,,263371841491841,592064242424242,0.0588311646629826,0.88783638978949,0.11216361021051,0.770650172738215,0.651704318433993,0.10547763623649,0.0734268547889874,180.377010347097,,,9302250416.68,0.168438897516745,0,0.0455596235505573,0.947968619708827,0.0103574753211635,,255,36405439,61382907,,,,92180246,0,4237,,660,429,0,24933061
2009,PA,Estadual,21,TJPA,18232119,,,,,,,,,,246281301,5685845,,,,,5273558,3671245,20228324,,,,19260663,,,373590765,288145655,,,,85445110,436980462,40661966198,,867269148,,,,0.00528491274584521,,,242253951955307,107280094339623,0.0427966695502186,0.930521378733862,0.0694786212661379,0.896659960966401,0.659401689680121,0.195535309768609,0.0652247444875464,57.4729351530315,,,10210618410.09,0.0998870677197462,0.0217784840000467,0.19357790188798,0.563597969284036,0.0204695719324861,,286,1110013702,3036080002,,,,43648697,9516772,2922,,530,358,14,84589761
2009,PB,Estadual,22,TJPB,26941063,,,,,,,,,,176040223,233972,,,,,,,2357033,,,,7524785,,,265860365,265860365,,,,0,308527059,273581540,,5130170,,,,0.00920358372570561,,,,,0.0570367181605585,0.886734346370572,0.113265653629428,0.949029977950816,0.861708421496994,0,0.0417756777696442,81.9062000077519,,,5409270886.37,0.0952281044496651,,0.0222022665441478,0.570582766939739,,,262,27420734,34945519,,,,29380447,,4414,,,,51,6850000
2009,PE,Estadual,23,TJPE,5119049594,,,,,,,,,,626197964,4363939,,,,,14881627,2034960,148995686,,,,36457268,,,496969554,457359428,,,,39610126,636713086,527030439,,16959168,,,,0.00655123629157651,,,194263092783505,926526326963907,0.0389299081527363,0.827736150847699,0.172263849152301,0.860921601884589,0.718313221537903,0.0622103218403147,0.0907478992822208,72.3863994583012,,,16355370875.83,0.104319817607769,0.236023515181844,0.0516302987528043,0.983485305656181,0.0265686183808071,,506,73225379,109682647,,,,66421793,15027926072,5557,,471,873,81,3287368685
2009,PI,Estadual,24,TJPI,6977007,,,,,,,,,,61716327,357674,,,,,966792,129600,1787840,,,,39956271,,,172861451,160715264,,,,12146187,194544926,165095003,,446803,,,,0.0087360736066129,,,15407,218093902439024,0.0369775432407534,0.848621479852936,0.151378520147064,0.924405800231459,0.82610874158702,0.062433841116987,0.024673499323236,62.3738346881948,,,5261164181.01,0.120948494950724,,0.0673274922626355,0.317234318411368,0.00116312054316955,,125,254542959,29449923,,,,23529916,,2025,,164,29,15,13098222
2009,PR,Estadual,25,TJPR,280066,,,,,,,,,,3303253892,10479000,,,,,12109057,6547408,2879305,,,,24858232,,,653230375,485937000,,,,167293375,777472871,710661846,,16982535,,,,0.00345228565847407,,,638441165413534,841011235955056,0.0394722323398921,0.914066422775541,0.0859335772244585,0.840557227623187,0.625021165529517,0.215175836019621,0.0672946529088602,74.473427767977,,,19696703857.67,0.0544046783595102,0.0422813376854149,0.399470019578342,4.24870630887904,0.0239962906692856,,771,41952793,66811025,,,,4229816148,32872593,3848,,1246,266,10,310577103
2009,RJ,Estadual,26,TJRJ,3779154631,,,,,,,,,,7396555469,792788579,,,,,17384679,38638697,7253817268,,,,93020680,,,1632268804,1632268804,,,,0,2143285372,187959796259,,21946707676,,,,0.00476435873160076,,,563024824935865,521914798551679,0.0497716248137164,0.876970461864376,0.123029538135624,0.779205780120446,0.761573248865527,0,0.149497424251538,134.009081767356,,,43062395090.01,0.313396914743652,0.151738288913213,0.14419772935398,3.45103622953295,0.0261390185049049,,862,17066672941,26368740941,,,,671699023,325218455,16048,,1519,3898,53,309056884
2009,RN,Estadual,27,TJRN,9977398,,,,,,,,,,167279973,1311778,,,,,6596915,2859131,2304527,,,,11544073,,,301627584,301627584,,,,0,355473618,318274010,,12325421,,,,0.0098239189359245,,,249502449392713,580432743362832,0.0539863309418551,0.895351986430678,0.104648013569322,0.876591021728088,0.848523121623051,0,0.0708386522231307,112.2028709022,,,6584511519.83,0.0481427794734404,0.0180698416837224,0.0107893013877615,0.470583369705934,0.0266012596186533,,225,25655535,37199608,,,,17113488,6423352,2931,,226,494,49,3835312
